,x
1423,HPSE
1424,GNS
1425,ARSB
1426,HYAL2
1427,HYAL1
1428,GALNS
1429,IDS
1430,HYAL4
1431,HYAL3
1432,SPAM1
1433,NAGLU
1434,HGSNAT
1435,SGSH
1436,HPSE2
1437,IDUA
1438,PGAP1
1439,GPLD1
1440,PIGA
1441,PIGB
1442,PIGC
1443,PIGF
1444,PIGG
1445,PIGH
1446,PIGK
1447,PIGL
1448,PIGM
1449,PIGN
1450,PIGO
1451,PIGP
1452,PIGQ
1453,PIGS
1454,PIGT
1455,PIGU
1456,PIGV
1457,PIGW
1458,PIGX
1459,PIGY
1460,PIGZ
1461,GPAA1
1462,B3GALT1
1463,B3GNT4
1464,B3GNT5
1465,GCNT2
1466,B3GALT5
1467,ST3GAL6
1468,B3GALT2
1469,ST3GAL4
1470,ABO
1471,B3GALNT1
1472,B3GNT3
1473,ST8SIA1
1474,FUT7
1475,FUT6
1476,FUT5
1477,FUT3
1478,FUT2
1479,FUT1
1480,A4GALT
1481,GBGT1
1482,A3GALT2
1483,NAGA
1484,B3GALT4
1485,B4GALNT1
1486,ST3GAL5
1487,ST8SIA5
1488,SLC33A1
1489,ST6GALNAC6
1490,ST6GALNAC5
1491,ST6GALNAC4
1492,ST6GALNAC3
1493,MAN2C1
1494,MANBA
1495,FUCA1
1496,AGA
1497,MAN2B1
1498,MAN2B2
1499,ENGASE
1500,HEXDC
1501,FUCA2
1502,ACP1
1503,NFS1
1504,ALPP
1505,TPK1
1506,ALPI
1507,ALPPL2
1508,THTPA
1509,ALPL
1510,ACP5
1511,ACP2
1512,FLAD1
1513,RFK
1514,BLVRB
1515,PDXK
1516,PHOSPHO2
1517,PDXP
1518,PNPO
1519,CD38
1520,NAMPT
1521,NMRK1
1522,NMRK2
1523,QPRT
1524,NADK
1525,NMNAT2
1526,NMNAT3
1527,NADK2
1528,ASPDH
1529,NADSYN1
1530,NUDT12
1531,NNT
1532,NMNAT1
1533,NAPRT
1534,NNMT
1535,BST1
1536,PANK1
1537,PPCDC
1538,COASY
1539,PANK2
1540,PANK4
1541,VNN2
1542,VNN3
1543,VNN1
1544,PANK3
1545,PPCS
1546,AASDHPPT
1547,BTD
1548,HLCS
1549,LIPT2
1550,LIAS
1551,LIPT1
1552,PCBD2
1553,MOCOS
1554,PCBD1
1555,MOCS2
1556,MOCS1
1557,DHFR2
1558,SPR
1559,DHFR
1560,PTS
1561,GGH
1562,QDPR
1563,FPGS
1564,GPHN
1565,GCH1
1566,MTFMT
1567,MTHFD2L
1568,MTHFD2
1569,MTHFD1
1570,ALDH1L2
1571,ALDH1L1
1572,MTHFD1L
1573,MTHFR
1574,MTHFS
1575,ST20-MTHFS
1576,RETSAT
1577,AWAT2
1578,RDH12
1579,DHRS4L1
1580,CYP2S1
1581,ALDH1A2
1582,RDH8
1583,DHRS9
1584,RPE65
1585,DHRS4
1586,RDH5
1587,DHRS3
1588,ALDH1A1
1589,CYP26B1
1590,PNPLA4
1591,LRAT
1592,RDH11
1593,DHRS4L2
1594,BCO1
1595,CYP2A6
1596,SDR16C5
1597,RDH16
1598,RDH10
1599,CYP2C18
1600,CYP27C1
1601,CYP26C1
1602,CYP26A1
1603,ALAD
1604,EARS2
1605,UROS
1606,UROD
1607,HEPH
1608,FECH
1609,HMBS
1610,HCCS
1611,EPRS
1612,CPOX
1613,FXN
1614,BLVRA
1615,CP
1616,PPOX
1617,HMOX1
1618,HMOX2
1619,MMAB
1620,COQ6
1621,VKORC1L1
1622,VKORC1
1623,NQO1
1624,GGCX
1625,COQ5
1626,COQ7
1627,COQ3
1628,COQ2
1629,DHDDS
1630,IDI1
1631,IDI2
1632,GGPS1
1633,PCYOX1
1634,NUS1
1635,FNTA
1636,FNTB
1637,PDSS2
1638,PDSS1
1639,MVD
1640,HMGCR
1641,MVK
1642,ICMT
1643,FDPS
1644,PMVK
1645,ZMPSTE24
1646,RCE1
1647,NAT2
1648,NAT1
1649,EPHX1
1650,AKR7A3
1651,CYP2D6
1652,CYP2D7
1653,CYP2F1
1654,SULT2A1
1655,CYP2A13
1656,AKR7A2
1657,FMO2
1658,FMO3
1659,FMO1
1660,FMO4
1661,FMO5
1662,TPMT
1663,CES1
1664,CES2
1665,MPO
